"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order"
"1891","Thank you for helping us with our Psych experiment! You will be shown a series of sentences in English and Spanish. Please rate the accuracy of our translations! Thank you :) <br> <br> Press any key to continue </br>","enter","instructions","96149","html-keyboard-response","0","1894","0.0-0.0","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7",""
"88251","","{""Q0"":2}","","","survey-likert","1","90150","0.0-1.0-0.0","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"8562","","{""Q0"":1}","","","survey-likert","2","98719","0.0-1.0-0.1","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"10761","","{""Q0"":1}","","","survey-likert","3","109485","0.0-1.0-0.2","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"8302","","{""Q0"":1}","","","survey-likert","4","117791","0.0-1.0-0.3","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"14502","","{""Q0"":3}","","","survey-likert","5","132298","0.0-1.0-0.4","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"9486","","{""Q0"":3}","","","survey-likert","6","141787","0.0-1.0-0.5","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"37769","","{""Q0"":3}","","","survey-likert","7","179563","0.0-1.0-0.6","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"8413","","{""Q0"":1}","","","survey-likert","8","187980","0.0-1.0-0.7","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"10989","","{""Q0"":0}","","","survey-likert","9","198977","0.0-1.0-0.8","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"13467","","{""Q0"":1}","","","survey-likert","10","212449","0.0-1.0-0.9","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"8171","","{""Q0"":4}","","","survey-likert","11","220624","0.0-1.0-0.10","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"12458","","{""Q0"":0}","","","survey-likert","12","233088","0.0-1.0-0.11","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"7350","","{""Q0"":3}","","","survey-likert","13","240442","0.0-1.0-0.12","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"7124","","{""Q0"":4}","","","survey-likert","14","247574","0.0-1.0-0.13","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"6428","","{""Q0"":4}","","","survey-likert","15","254006","0.0-1.0-0.14","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"81389","","{""Q0"":0}","","","survey-likert","16","335400","0.0-1.0-0.15","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"7782","","{""Q0"":3}","","","survey-likert","17","343188","0.0-1.0-0.16","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"6042","","{""Q0"":1}","","","survey-likert","18","349233","0.0-1.0-0.17","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"7396","","{""Q0"":4}","","","survey-likert","19","356634","0.0-1.0-0.18","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"3987","","{""Q0"":1}","","","survey-likert","20","360625","0.0-1.0-0.19","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"10081","","{""Q0"":4}","","","survey-likert","21","370710","0.0-1.0-0.20","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"6753","","{""Q0"":1}","","","survey-likert","22","377467","0.0-1.0-0.21","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"22074","","{""Q0"":1}","","","survey-likert","23","399544","0.0-1.0-0.22","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"9071","","{""Q0"":3}","","","survey-likert","24","408619","0.0-1.0-0.23","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"9739","","{""Q0"":1}","","","survey-likert","25","418364","0.0-1.0-0.24","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"21626","","{""Q0"":1}","","","survey-likert","26","439997","0.0-1.0-0.25","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"3392","","{""Q0"":1}","","","survey-likert","27","443397","0.0-1.0-0.26","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"6915","","{""Q0"":4}","","","survey-likert","28","450316","0.0-1.0-0.27","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"7405","","{""Q0"":1}","","","survey-likert","29","457726","0.0-1.0-0.28","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"4656","","{""Q0"":0}","","","survey-likert","30","462385","0.0-1.0-0.29","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"6023","","{""Q0"":1}","","","survey-likert","31","468413","0.0-1.0-0.30","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"7124","","{""Q0"":1}","","","survey-likert","32","475541","0.0-1.0-0.31","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"7170","","{""Q0"":3}","","","survey-likert","33","482716","0.0-1.0-0.32","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"4174","","{""Q0"":1}","","","survey-likert","34","486895","0.0-1.0-0.33","16","1","2022-11-09 02:42:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.203.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
